format: 0, nTracks: 1, division: 480
controller - ch: 00, cont: #40, value: 82
controller - ch: 00, cont: #40, value: 6D
controller - ch: 00, cont: #40, value: 5D
controller - ch: 00, cont: #40, value: 49
controller - ch: 00, cont: #40, value: 3A
note_on  - ch:00,  note:29,  vel:39 time:13
note_on  - ch:00,  note:43,  vel:3F time:3
controller - ch: 00, cont: #40, value: 21
controller - ch: 00, cont: #40, value: 00
note_off - ch:00,  note:29,  vel:40 time:15
note_off - ch:00,  note:43,  vel:40 time:0
note_off - ch:00,  note:3E,  vel:B0 time:62
note_off - ch:00,  note:08,  vel:1B time:67
note_off - ch:00,  note:3D,  vel:0B time:2117
note_off - ch:00,  note:09,  vel:1C time:6211
note_off - ch:00,  note:45,  vel:40 time:69
note_off - ch:00,  note:76,  vel:90 time:118
note_off - ch:00,  note:3D,  vel:01 time:71
note_off - ch:00,  note:08,  vel:01 time:6211
note_off - ch:00,  note:40,  vel:01 time:2103
note_off - ch:00,  note:3C,  vel:14 time:2110
note_off - ch:00,  note:47,  vel:40 time:71
note_off - ch:00,  note:3E,  vel:40 time:7
note_off - ch:00,  note:37,  vel:40 time:14
controller - ch: 00, cont: #43, value: 00
controller - ch: 00, cont: #3B, value: 90
controller - ch: 00, cont: #42, value: 80
note_off - ch:00,  note:43,  vel:40 time:34
note_off - ch:00,  note:6E,  vel:90 time:110
note_off - ch:00,  note:48,  vel:0B time:72
note_off - ch:00,  note:23,  vel:01 time:6208
note_off - ch:00,  note:43,  vel:10 time:2088
note_off - ch:00,  note:3B,  vel:16 time:6208
note_off - ch:00,  note:43,  vel:01 time:6208
note_off - ch:00,  note:28,  vel:40 time:40
controller - ch: 00, cont: #40, value: 4A
note_off - ch:00,  note:48,  vel:40 time:6
controller - ch: 00, cont: #40, value: 53
controller - ch: 00, cont: #40, value: 64
controller - ch: 00, cont: #40, value: 7F
controller - ch: 00, cont: #40, value: 69
note_on  - ch:00,  note:47,  vel:3E time:5
note_on  - ch:00,  note:34,  vel:3A time:8
controller - ch: 00, cont: #40, value: 57
note_on  - ch:00,  note:37,  vel:3A time:6
note_on  - ch:00,  note:3C,  vel:31 time:6
controller - ch: 00, cont: #40, value: 49
controller - ch: 00, cont: #40, value: 40
note_off - ch:00,  note:37,  vel:40 time:7
note_off - ch:00,  note:3C,  vel:40 time:2
note_off - ch:00,  note:34,  vel:40 time:6
controller - ch: 00, cont: #40, value: 3B
controller - ch: 00, cont: #40, value: 3A
note_on  - ch:00,  note:45,  vel:43 time:12
note_off - ch:00,  note:47,  vel:40 time:9
controller - ch: 00, cont: #40, value: 39
controller - ch: 00, cont: #40, value: 38
controller - ch: 00, cont: #40, value: 35
controller - ch: 00, cont: #40, value: 31
controller - ch: 00, cont: #40, value: 29
note_off - ch:00,  note:45,  vel:40 time:13
note_on  - ch:00,  note:43,  vel:3B time:7
controller - ch: 00, cont: #40, value: 1B
controller - ch: 00, cont: #40, value: 00
note_on  - ch:00,  note:3C,  vel:33 time:12
note_on  - ch:00,  note:39,  vel:3F time:7
note_on  - ch:00,  note:41,  vel:4A time:4
note_off - ch:00,  note:43,  vel:40 time:16
note_on  - ch:00,  note:35,  vel:33 time:1
note_off - ch:00,  note:3C,  vel:40 time:16
note_off - ch:00,  note:39,  vel:40 time:0
note_off - ch:00,  note:41,  vel:40 time:10
note_off - ch:00,  note:35,  vel:40 time:10
note_off - ch:00,  note:6E,  vel:90 time:110
note_off - ch:00,  note:42,  vel:1D time:64
note_off - ch:00,  note:40,  vel:40 time:64
note_off - ch:00,  note:58,  vel:90 time:88
note_off - ch:00,  note:3F,  vel:06 time:65
note_off - ch:00,  note:3F,  vel:09 time:2109
note_off - ch:00,  note:36,  vel:14 time:2105
note_off - ch:00,  note:41,  vel:40 time:65
note_off - ch:00,  note:3D,  vel:40 time:12
note_off - ch:00,  note:39,  vel:40 time:5
note_off - ch:00,  note:39,  vel:90 time:57
note_off - ch:00,  note:43,  vel:80 time:67
note_off - ch:00,  note:43,  vel:40 time:45
note_off - ch:00,  note:5D,  vel:90 time:93
note_off - ch:00,  note:42,  vel:09 time:65
note_off - ch:00,  note:36,  vel:05 time:2105
note_off - ch:00,  note:38,  vel:17 time:2110
note_off - ch:00,  note:41,  vel:40 time:65
note_off - ch:00,  note:3E,  vel:40 time:8
note_off - ch:00,  note:39,  vel:40 time:2
note_off - ch:00,  note:5A,  vel:90 time:90
note_off - ch:00,  note:3C,  vel:80 time:64
note_off - ch:00,  note:40,  vel:40 time:39
controller - ch: 00, cont: #40, value: 31
note_on  - ch:00,  note:3E,  vel:3B time:14
note_on  - ch:00,  note:35,  vel:2E time:8
controller - ch: 00, cont: #40, value: 3E
note_on  - ch:00,  note:2E,  vel:32 time:1
controller - ch: 00, cont: #40, value: 43
controller - ch: 00, cont: #40, value: 46
note_off - ch:00,  note:35,  vel:40 time:4
controller - ch: 00, cont: #40, value: 4B
note_off - ch:00,  note:2E,  vel:40 time:8
controller - ch: 00, cont: #40, value: 51
