format: 0, nTracks: 1, division: 480
note_off - ch:00,  note:4F,  vel:40 time:2
note_off - ch:00,  note:51,  vel:40 time:24
note_off - ch:00,  note:53,  vel:40 time:35
note_off - ch:00,  note:34,  vel:40 time:21
note_on  - ch:00,  note:4E,  vel:38 time:114
note_on  - ch:00,  note:51,  vel:49 time:0
note_on  - ch:00,  note:3B,  vel:29 time:0
note_on  - ch:00,  note:40,  vel:29 time:0
note_off - ch:00,  note:3B,  vel:40 time:48
note_off - ch:00,  note:40,  vel:40 time:0
note_off - ch:00,  note:4E,  vel:40 time:19
note_off - ch:00,  note:51,  vel:40 time:0
note_on  - ch:00,  note:4C,  vel:31 time:149
note_on  - ch:00,  note:4F,  vel:49 time:0
note_on  - ch:00,  note:2F,  vel:29 time:0
note_off - ch:00,  note:4C,  vel:40 time:71
note_off - ch:00,  note:4F,  vel:40 time:0
note_off - ch:00,  note:2F,  vel:40 time:24
note_on  - ch:00,  note:4B,  vel:31 time:134
note_on  - ch:00,  note:4E,  vel:49 time:0
note_on  - ch:00,  note:3B,  vel:29 time:0
note_off - ch:00,  note:3B,  vel:40 time:62
note_off - ch:00,  note:4B,  vel:40 time:25
note_off - ch:00,  note:4E,  vel:40 time:0
note_on  - ch:00,  note:4C,  vel:3F time:194
note_on  - ch:00,  note:34,  vel:29 time:0
note_off - ch:00,  note:4C,  vel:40 time:481
note_off - ch:00,  note:34,  vel:40 time:0
note_on  - ch:00,  note:48,  vel:3B time:0
note_on  - ch:00,  note:4C,  vel:47 time:0
note_off - ch:00,  note:48,  vel:40 time:39
note_off - ch:00,  note:4C,  vel:40 time:0
note_on  - ch:00,  note:4A,  vel:43 time:202
note_on  - ch:00,  note:4D,  vel:4F time:0
note_off - ch:00,  note:4A,  vel:40 time:39
note_off - ch:00,  note:4D,  vel:40 time:0
note_on  - ch:00,  note:4C,  vel:45 time:197
note_on  - ch:00,  note:4F,  vel:58 time:0
note_on  - ch:00,  note:30,  vel:3D time:0
note_off - ch:00,  note:4C,  vel:40 time:36
note_off - ch:00,  note:4F,  vel:40 time:0
note_off - ch:00,  note:30,  vel:40 time:3
note_on  - ch:00,  note:4C,  vel:45 time:183
note_on  - ch:00,  note:4F,  vel:58 time:0
note_on  - ch:00,  note:3C,  vel:3D time:0
note_off - ch:00,  note:4C,  vel:40 time:40
note_off - ch:00,  note:4F,  vel:40 time:0
